"id","date","buyer_id","buyer_name","fisher_id","total_price"
"f3c6f703-f305-49e4-80ef-a68266273ca3","2021-06-14T21:10:44",431,"siisa","bf41bd360184",2e+06
"379442fa-08d8-4342-9a9e-f4bd21736a3f","2021-11-27T10:03:55",431,"siisa","40d8a0e4abc4",1836000
"5fc16ad9-c527-4410-a087-c0601bdbd560","2020-11-29T11:50:54",431,"siisa","40d8a0e4abc4",128000
"8d281e57-63a8-4cba-a7c4-5b7d3bcba200","2020-11-15T08:06:30",431,"siisa","bf41bd360184",520000
"defd56de-e45b-4e1f-88c2-4b3700eb303a","2021-11-17T13:12:34",431,"siisa","40d8a0e4abc4",203000
"53f87abd-ab32-414c-8500-c1d4fbd66fe5","2020-05-28T09:33:43",431,"siisa","40d8a0e4abc4",450000
"29121e2d-7782-4490-8d71-2c59d6444d12","2020-05-28T08:44:20",431,"siisa","40d8a0e4abc4",45000
"2baa7553-ee24-4a2b-9f3e-56749610f456","2020-03-18T16:33:45",431,"siisa","40d8a0e4abc4",24000
"22d2169c-818f-4515-8b9d-27c2e2a87bbe","2020-03-10T11:10:46",431,"siisa","40d8a0e4abc4",80000
"6eb00f75-d354-4a77-b9ca-5eabe6e62e04","2020-03-04T12:22:59",431,"siisa","40d8a0e4abc4",1e+05
"1d0e552f-531a-4eea-89ed-e2c09d762ae6","2020-03-04T11:38:14",431,"siisa","bf41bd360184",7.5e+07
"987e2fb3-4165-47b4-9565-b4232693ceb7","2021-08-13T13:47:22",431,"siisa","f7d9f4584cca",1600000
"1d5e4df5-6fcc-4bd9-9d5b-93d87c282e2a","2021-08-13T13:46:34",431,"siisa","ffabd06b6bdf",640000
"e9015bc2-6fb8-43a5-a033-04959032fb36","2021-08-13T13:45:51",431,"siisa","6f87a1183920",375000
"a95d9c30-b0e8-4992-8a62-3761fd4c21f6","2021-08-13T13:45:32",431,"siisa","300b96b58b30",1e+06
"efda39c5-cedd-42a6-adb0-7e6144a1f62d","2021-08-13T13:45:14",431,"siisa","6f87a1183920",2e+06
"93ec3541-3f07-47fb-8410-5c8964bcabaa","2021-08-13T13:44:57",431,"siisa","eee9f31e4b89",2e+06
"4a872ffa-2ff4-40c2-bf29-446591dc5da0","2021-08-11T15:58:51",431,"siisa","ffabd06b6bdf",2e+05
"ed1b4b61-1160-4511-bd11-2ecfbf863fd3","2021-08-11T15:58:29",431,"siisa","300b96b58b30",1500000
"1f96fa06-2c52-47bb-84c8-9d06d1ea12ad","2021-08-11T15:55:55",431,"siisa","e5a592c16e71",3e+06
"730844a0-25e2-4f1d-a797-6a2b23977be8","2021-08-11T15:55:31",431,"siisa","5273237fd215",13650000
"95e6f5d4-f148-4bb9-afde-4c3e11478015","2021-08-05T19:36:29",431,"siisa","5e344c1e40d1",180000
